2020.07.29,13:40,1.17492,1.17495,1.17455,1.17455,387
2020.07.29,13:45,1.17454,1.17507,1.17424,1.17486,628
2020.07.29,13:50,1.17486,1.17496,1.17462,1.17473,346
2020.07.29,13:55,1.17475,1.17477,1.17433,1.17463,450
2020.07.29,14:00,1.17462,1.17467,1.17390,1.17392,554
2020.07.29,14:05,1.17392,1.17392,1.17334,1.17345,603
2020.07.29,14:10,1.17345,1.17350,1.17316,1.17320,474
2020.07.29,14:15,1.17320,1.17322,1.17290,1.17295,510
2020.07.29,14:20,1.17296,1.17333,1.17296,1.17330,504
2020.07.29,14:25,1.17329,1.17353,1.17325,1.17338,431
2020.07.29,14:30,1.17339,1.17355,1.17319,1.17326,582
2020.07.29,14:35,1.17326,1.17347,1.17294,1.17340,496
2020.07.29,14:40,1.17341,1.17370,1.17284,1.17317,587
2020.07.29,14:45,1.17318,1.17329,1.17297,1.17304,501
2020.07.29,14:50,1.17304,1.17304,1.17265,1.17281,466
2020.07.29,14:55,1.17281,1.17287,1.17202,1.17225,686
2020.07.29,15:00,1.17223,1.17235,1.17185,1.17203,639
2020.07.29,15:05,1.17203,1.17255,1.17196,1.17242,485
2020.07.29,15:10,1.17243,1.17278,1.17211,1.17249,577
2020.07.29,15:15,1.17251,1.17285,1.17206,1.17279,744
2020.07.29,15:20,1.17279,1.17310,1.17258,1.17259,585
2020.07.29,15:25,1.17258,1.17292,1.17249,1.17279,411
2020.07.29,15:30,1.17279,1.17310,1.17271,1.17299,524
2020.07.29,15:35,1.17298,1.17323,1.17288,1.17304,562
2020.07.29,15:40,1.17307,1.17324,1.17271,1.17324,522
2020.07.29,15:45,1.17324,1.17376,1.17324,1.17356,575
2020.07.29,15:50,1.17357,1.17428,1.17356,1.17422,547
2020.07.29,15:55,1.17421,1.17455,1.17415,1.17434,595
2020.07.29,16:00,1.17436,1.17493,1.17420,1.17486,597
2020.07.29,16:05,1.17485,1.17535,1.17483,1.17535,619
2020.07.29,16:10,1.17534,1.17574,1.17513,1.17556,444
2020.07.29,16:15,1.17559,1.17559,1.17495,1.17509,487
2020.07.29,16:20,1.17510,1.17564,1.17510,1.17555,447
2020.07.29,16:25,1.17555,1.17558,1.17516,1.17526,508
2020.07.29,16:30,1.17526,1.17642,1.17522,1.17592,892
2020.07.29,16:35,1.17587,1.17603,1.17542,1.17562,790
2020.07.29,16:40,1.17562,1.17567,1.17476,1.17517,1150
2020.07.29,16:45,1.17516,1.17553,1.17492,1.17510,1014
2020.07.29,16:50,1.17509,1.17540,1.17488,1.17532,817
2020.07.29,16:55,1.17533,1.17578,1.17531,1.17551,777
2020.07.29,17:00,1.17549,1.17604,1.17549,1.17603,821
2020.07.29,17:05,1.17604,1.17644,1.17577,1.17604,751
2020.07.29,17:10,1.17604,1.17644,1.17533,1.17533,729
2020.07.29,17:15,1.17530,1.17611,1.17513,1.17560,852
2020.07.29,17:20,1.17560,1.17588,1.17542,1.17550,630
2020.07.29,17:25,1.17551,1.17590,1.17539,1.17571,727
2020.07.29,17:30,1.17570,1.17603,1.17520,1.17540,760
2020.07.29,17:35,1.17541,1.17604,1.17523,1.17588,548
2020.07.29,17:40,1.17590,1.17748,1.17581,1.17708,811
2020.07.29,17:45,1.17709,1.17774,1.17674,1.17741,984
2020.07.29,17:50,1.17743,1.17779,1.17739,1.17763,765
2020.07.29,17:55,1.17762,1.17784,1.17721,1.17749,1027
2020.07.29,18:00,1.17750,1.17753,1.17677,1.17684,831
